交易币对,买入时间,买入价格,买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
BNB_USDT,2019-03-24 09:00:00+00:00,16.5,62.139074123203336,2019-03-27 00:00:00+00:00,16.0437,62.139074123203336,1025.294723032855,2.0222353865432927,-30.38,10242.80,-0.30%,-2.96%
EOS_USDT,2019-03-27 00:00:00+00:00,4.031,254.1007248214402,2019-03-30 00:00:00+00:00,4.3076,254.1007248214402,1024.2800217552253,2.1188443039960614,68.17,10310.97,0.66%,6.65%
ADA_USDT,2019-03-27 07:00:00+00:00,0.06596,15527.252785825494,2019-03-30 00:00:00+00:00,0.07243,15527.252785825494,1024.1775937530497,2.14881651303039,98.31,10409.28,0.94%,9.60%
ETH_USDT,2019-03-30 00:00:00+00:00,145.43,7.157586565870265,2019-04-02 00:00:00+00:00,141.28,7.157586565870265,1040.9278142745127,2.0521516443006638,-31.76,10377.52,-0.31%,-3.05%
BNB_USDT,2019-03-31 04:00:00+00:00,17.4924,59.501481871732025,2019-04-03 00:00:00+00:00,19.8397,59.501481871732025,1040.8237214930853,2.221315271383687,137.45,10514.97,1.31%,13.21%
ADA_USDT,2019-04-02 04:00:00+00:00,0.07416,13989.220591503716,2019-04-05 00:00:00+00:00,0.08911,13989.220591503716,1037.4405990659156,2.2840200459748115,206.85,10721.82,1.93%,19.94%
ETH_USDT,2019-04-02 04:00:00+00:00,145.33,7.139944390787153,2019-04-05 00:00:00+00:00,158.49,7.139944390787153,1037.648118313097,2.169257904808953,91.79,10813.62,0.85%,8.85%
EOS_USDT,2019-04-02 04:00:00+00:00,4.4274,234.34619720406243,2019-04-05 00:00:00+00:00,5.1503,234.34619720406243,1037.544353501266,2.2444975729613486,167.16,10980.78,1.52%,16.11%
XRP_USDT,2019-04-02 05:00:00+00:00,0.32202,3221.342944556267,2019-04-05 00:00:00+00:00,0.33142,3221.342944556267,1037.336855006009,2.104954333690847,28.18,11008.96,0.26%,2.72%
BCHABC_USDT,2019-04-03 00:00:00+00:00,266.54,3.943430085560408,2019-04-06 00:00:00+00:00,289.48,3.943430085560408,1051.081855005271,2.192625996173298,88.27,11097.23,0.80%,8.40%
LTC_USDT,2019-04-03 00:00:00+00:00,82.53,12.734481362168552,2019-04-06 00:00:00+00:00,87.58,12.734481362168552,1050.9767468197706,2.1662626245184926,62.14,11159.37,0.56%,5.91%
XRP_USDT,2019-04-05 05:00:00+00:00,0.37,2974.825334373709,2019-04-08 00:00:00+00:00,0.36846,2974.825334373709,1100.6853737182723,2.1967895164216094,-6.78,11152.59,-0.06%,-0.62%
ETH_USDT,2019-04-08 00:00:00+00:00,183.72,6.070427990242874,2019-04-11 00:00:00+00:00,175.23,6.070427990242874,1115.2590303674208,2.1789801270976796,-53.72,11098.87,-0.48%,-4.82%
EOS_USDT,2019-04-10 12:00:00+00:00,5.9448,187.5836873342053,2019-04-13 00:00:00+00:00,5.3262,187.5836873342053,1115.1475044643837,2.1142557399438284,-118.15,10980.72,-1.08%,-10.60%
BNB_USDT,2019-04-18 04:00:00+00:00,20.43,53.74801696125827,2019-04-21 00:00:00+00:00,24.4298,53.74801696125827,1098.0719865185065,2.411125291278654,212.57,11193.29,1.90%,19.36%
ETH_USDT,2019-05-11 08:00:00+00:00,184.89,6.0540267500326825,2019-05-14 00:00:00+00:00,196.25,6.0540267500326825,1119.3290058135426,2.3074317555074564,66.47,11259.76,0.59%,5.94%
LTC_USDT,2019-05-11 08:00:00+00:00,84.9,13.182768821118508,2019-05-14 00:00:00+00:00,87.73,13.182768821118508,1119.2170729129614,2.2757413815896883,35.03,11294.79,0.31%,3.13%
EOS_USDT,2019-05-11 17:00:00+00:00,5.5926,200.0846190842452,2019-05-14 00:00:00+00:00,5.5471,200.0846190842452,1118.9932406905496,2.228882631212766,-11.33,11283.46,-0.10%,-1.01%
BCHABC_USDT,2019-05-11 17:00:00+00:00,338.0,3.310961985815592,2019-05-14 00:00:00+00:00,386.26,3.310961985815592,1119.1051512056702,2.3979973278468005,157.39,11440.84,1.38%,14.06%
XRP_USDT,2019-05-14 01:00:00+00:00,0.34929,3275.4571158494477,2019-05-17 00:00:00+00:00,0.41376,3275.4571158494477,1144.0844159950536,2.4993375522489205,208.67,11649.51,1.79%,18.24%
EOS_USDT,2019-05-14 02:00:00+00:00,5.8293,196.24483343685415,2019-05-17 00:00:00+00:00,6.5007,196.24483343685415,1143.9700075534538,2.4196987962764123,129.34,11778.85,1.10%,11.31%
ETH_USDT,2019-05-14 03:00:00+00:00,208.63,5.4826995664703,2019-05-17 00:00:00+00:00,262.11,5.4826995664703,1143.8556105526986,2.5809259939202294,290.63,12069.49,2.41%,25.41%
BCHABC_USDT,2019-05-14 05:00:00+00:00,392.68,2.9126546424356814,2019-05-17 00:00:00+00:00,405.43,2.9126546424356814,1143.7412249916433,2.3246187966743417,34.81,12104.30,0.29%,3.04%
TRX_USDT,2019-05-14 15:00:00+00:00,0.02634,43417.875887211245,2019-05-17 00:00:00+00:00,0.02866,43417.875887211245,1143.6268508691442,2.387983173796619,98.34,12202.64,0.81%,8.60%
BNB_USDT,2019-05-15 02:00:00+00:00,25.1002,45.55790345033335,2019-05-18 00:00:00+00:00,25.3329,45.55790345033335,1143.5124881840572,2.297626300501007,8.30,12210.94,0.07%,0.73%
